 "subject" , "predicate" , "object" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/currency" , "http://purl.org/linked-data/cube#concept" , "http://purl.org/linked-data/sdmx/2009/concept#currency" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/currency" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://purl.org/linked-data/cube#AttributeProperty" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/currency" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://purl.org/linked-data/cube#CodedProperty" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/currency" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#Property" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/currency" , "http://www.w3.org/2000/01/rdf-schema#comment" , "The currency of the financial amount." ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/currency" , "http://www.w3.org/2000/01/rdf-schema#isDefinedBy" , "http://data.openbudgets.eu/ontology" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/currency" , "http://www.w3.org/2000/01/rdf-schema#label" , "currency" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/currency" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://data.openbudgets.eu/ontology/Currency" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/currency" , "http://www.w3.org/2000/01/rdf-schema#subPropertyOf" , "http://purl.org/linked-data/sdmx/2009/attribute#currency" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/taxesIncluded" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://purl.org/linked-data/cube#AttributeProperty" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/taxesIncluded" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://purl.org/linked-data/cube#CodedProperty" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/taxesIncluded" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#Property" ,
 "http://data.openbudgets.eu/ontology/dsd/attribute/taxesIncluded" , "http://www.w3.org/2000/01/rdf-schema#comment" , "Indicates whether the reported amount includes taxes." ,
