 year , adminClass , economicClass , budgetPhase , sum ,
nom,nom,nom,nom,target,
 2013 , 25 , 6061 , executed , 0.0 ,
 2014 , 40 , 6243 , approved , 0.0 ,
 2013 , 30 , 7112 , executed , 0.0 ,
 2014 , 50 , 6253 , approved , 0.0 ,
 2015 , 50 , 6252 , approved , 0.0 ,
 2015 , 40 , 6242 , approved , 0.0 ,
 2014 , 45 , 6114 , approved , 0.0 ,
 2014 , 70 , 6266 , executed , 0.0 ,
 2014 , 80 , 8222 , draft , 1400.0 ,
 2014 , 30 , 6233 , approved , 0.0 ,
 2015 , 30 , 6232 , approved , 0.0 ,
 2013 , 15 , 6233 , reserved , 0.0 ,
 2015 , 80 , 8223 , draft , 159000.0 ,
 2014 , 70 , 7331 , executed , 0.0 ,
 2014 , 20 , 7421 , approved , 0.0 ,
 2014 , 15 , 6633 , draft , 0.0 ,
 2015 , 15 , 6632 , draft , 0.0 ,
 2015 , 70 , 7332 , executed , 0.0 ,
 2013 , 45 , 6111 , approved , 0.0 ,
 2013 , 80 , 8221 , draft , 0.0 ,
 2013 , 30 , 6234 , approved , 0.0 ,
 2014 , 15 , 6234 , reserved , 0.0 ,
 2015 , 15 , 6235 , reserved , 24452.4 ,
 2014 , 00 , 6224 , reserved , 7487.6 ,
 2015 , 30 , 6041 , executed , 0.0 ,
 2014 , 45 , 7312 , approved , 0.0 ,
 2014 , 25 , 7425 , approved , 0.0 ,
 2015 , 25 , 7424 , approved , 0.0 ,
 2013 , 40 , 6115 , approved , 0.0 ,
 2013 , 45 , 6244 , approved , 0.0 ,
 2015 , 45 , 7311 , approved , 0.0 ,
 2014 , 15 , 6634 , draft , 0.0 ,
 2015 , 50 , 6681 , revised , 0.0 ,
 2015 , 35 , 6236 , approved , 0.0 ,
 2013 , 35 , 6042 , executed , 0.0 ,
 2015 , 40 , 6243 , approved , 0.0 ,
 2013 , 30 , 7111 , executed , 0.0 ,
 2015 , 45 , 6114 , approved , 0.0 ,
 2014 , 50 , 6252 , approved , 0.0 ,
 2014 , 40 , 6242 , approved , 0.0 ,
 2015 , 50 , 6253 , approved , 0.0 ,
 2015 , 70 , 6266 , executed , 0.0 ,
 2015 , 80 , 8222 , draft , 1400.0 ,
 2013 , 15 , 6232 , reserved , 0.0 ,
 2014 , 80 , 8223 , draft , 159000.0 ,
 2014 , 30 , 6232 , approved , 0.0 ,
 2015 , 30 , 6233 , approved , 0.0 ,
 2014 , 15 , 6632 , draft , 0.0 ,
