birth_year;Salary;District;amount;payments;duration;status
45;12541;Praha;80952;3373;24;A
39;9104;Tabor;30276;2523;12;B
62;9893;Frydek - Mistek;30276;2523;12;A
52;8547;Strakonice;318480;5308;60;D
40;8402;Prachatice;110736;2307;48;C
44;8427;Jindrichuv Hradec;165960;6915;24;A
42;10673;Ostrava - mesto;102876;8573;12;A
67;8254;Chrudim;265320;7370;36;D
50;9104;Tabor;352704;7348;48;C
53;9198;Liberec;162576;4516;36;C
45;9317;Teplice;88440;7370;12;A
39;8512;Zdar nad Sazavou;104808;8734;12;A
67;8678;Novy Jicin;27456;2288;12;A
44;10177;Karvina;109344;9112;12;C
71;8965;Louny;160920;4470;36;C
40;8772;Breclav;123696;2577;48;A
56;8678;Novy Jicin;112752;3132;36;C
73;10045;Ceske Budejovice;91248;1901;48;C
39;9045;Cesky Krumlov;66840;2785;24;C
74;9538;Pardubice;369000;6150;60;C
73;8388;Havlickuv Brod;331584;6908;48;C
47;8369;Nachod;468060;7801;60;C
65;9897;Brno;100980;1683;60;C
47;12541;Praha;187224;7801;24;B
37;8994;Olomouc;42816;3568;12;C
61;9893;Frydek - Mistek;230400;3840;60;C
65;8441;Prostejov;252060;4201;60;D
57;8843;Rokycany;84288;1756;48;C
41;9897;Brno;357840;7455;48;D
60;11277;Mlada Boleslav;196800;8200;24;D
66;8598;Rakovnik;262980;4383;60;C
56;10177;Karvina;210384;4383;48;C
42;9272;Ceska Lipa;91152;3798;24;A
40;8561;Plzen - jih;12540;1045;12;A
45;8757;Jihlava;102240;1704;60;C
56;12541;Praha;76944;6412;12;A
52;9104;Tabor;156096;4336;36;C
70;10446;Most;73056;1522;48;C
51;9897;Brno;208128;4336;48;B
57;8173;Jesenik;215616;4492;48;D
55;8427;Jindrichuv Hradec;24312;2026;12;A
61;9317;Teplice;48624;2026;24;A
60;9307;Kolin;538500;8975;60;C
48;8402;Prachatice;53076;4423;12;A
77;8994;Olomouc;187104;7796;24;A
54;12541;Praha;87216;1817;48;C
71;8746;Opava;178500;2975;60;C
35;8994;Olomouc;309552;6449;48;C
40;10177;Karvina;22260;371;60;C
58;9065;Litomerice;284280;4738;60;C
58;9753;Kladno;189060;3151;60;C
66;8546;Kutna Hora;108720;1812;60;C
75;10177;Karvina;188532;5237;36;C
44;8390;Jicin;204000;3400;60;C
45;8403;Znojmo;98184;4091;24;A
36;8363;Usti nad Orlici;253200;4220;60;C
50;8363;Usti nad Orlici;253200;4220;60;C
