Item,Features,,,,,,,,,,,Target,Score
,economicClassification.prefLabel,currency.currency,budgetPhase.prefLabel,operationCharacter.prefLabel,organization.organization,functionalClassification.prefLabel,profitCenter.prefLabel,businessArea.prefLabel,costCenter.prefLabel,fiscalYear.prefLabel,administrativeClassification.prefLabel,,
6318,Verrechnung zentrale Erträge,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Internal Invoicing,http://dbpedia.org/resource/Bonn,Bereitstellung u. Betrieb v.Sportanlagen,Ber./Betr.v.Sp-anl.a,Verwaltung übergreifend,BKST Sportanlagen,2022,Sport- und Bäderamt,-859482.0,329012790.939
4753,Bezüge der Beamten,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,PB01 Innere Verwaltung,Amt 10 TE-übergr.,Amt für Organisation und IT,n.a.,2022,Personal- und Organisationsamt,-61868.4,70279456.6645
448,Beitr. Z. gesetzl.SV f. tarifl. Beschäf.,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,ProduktbereichsĂźbergreifend,Amt 50 PB-übergr.,Amt für Soziales und Wohnen,Privatrecht,2022,Amt für Soziales und Wohnen,-271.82,6884573.90598
4982,Zuf. zu Rückst. für Altersteilzeit,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Personalmanagement,Personalmanagement,Personalamt,Zentralbudget,2022,Amt 11,2200000.0,2933334.82562
8382,Bezüge der Beamten,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,PB01 Innere Verwaltung,Amt 21 TE-übergr.,Kassen- und Steueramt,Amtsleiterin 21,2022,Kassen- und Steueramt,-3315.83,2257911.31179
6708,Beihilfen,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Zahlungsabwicklung,2022,Kassen- und Steueramt,-733.919,1746740.74147
641,Aufl. SoPo aus Zuweisungen Land,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Revenue,http://dbpedia.org/resource/Bonn,Stadtbibliothek,Stadtbibliothek,LZ Stadtbibliothek,Auerberg,2022,Leistungszentrum Stadtbibliothek,-7.05,546887.525856
6712,Beihilfen,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Anlagenbuchhaltung,2022,Kassen- und Steueramt,-1468.08,545640.61744
6707,Beihilfen,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Vorbuch Kreditoren,2022,Kassen- und Steueramt,-1284.36,528546.912524
6710,Beihilfen,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Vollstreckung in Ah,2022,Kassen- und Steueramt,-917.52,494460.451946
6301,Zuf. zu Beihilferückst.f.Pensionsrückst.,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Personalmanagement,Personalmanagement,Personalamt,Pensionszahlungen/Rückstellungen,2022,Amt 11,-188958.0,481000.306075
6375,Erstattungen von privaten Unternehmen,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Revenue,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Zahlungsabwicklung,2022,Kassen- und Steueramt,3.36,405920.014386
7059,Fürsorge- Unterst.leist f. Beschäftigte,http://data.openbudgets.eu/codelist/currency/EUR,Approved,Expenditure,http://dbpedia.org/resource/Bonn,Finanzbuchhaltung,Finanzbuchhaltung,Kassen- und Steueramt,Zahlungsabwicklung,2022,Kassen- und Steueramt,-19.56,265408.58177
